GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
XUnit,default,Add,2,20,1,3,1,5,1,3,0,2
XUnit,default,Division,2,27,1,5,1,7,1,4,0,2
